batch 10 finished, second per batch: 12.596491
batch 20 finished, second per batch: 11.600002
batch 30 finished, second per batch: 11.273820
batch 40 finished, second per batch: 11.167483
batch 50 finished, second per batch: 11.015892
batch 60 finished, second per batch: 10.900015
batch 70 finished, second per batch: 10.881447
batch 80 finished, second per batch: 10.936700
batch 90 finished, second per batch: 10.918332
batch 100 finished, second per batch: 10.886843
batch 110 finished, second per batch: 10.898766
batch 120 finished, second per batch: 10.895731
batch 130 finished, second per batch: 10.889934
batch 140 finished, second per batch: 10.896376
batch 150 finished, second per batch: 10.889583
batch 160 finished, second per batch: 10.925070
batch 170 finished, second per batch: 10.914477
0 pass end, cost time: 1876.901192, avg_cost: 0.112848
batch 180 finished, second per batch: 10.915493
batch 190 finished, second per batch: 10.917007
batch 200 finished, second per batch: 10.903713
batch 210 finished, second per batch: 10.905517
batch 220 finished, second per batch: 10.904608
batch 230 finished, second per batch: 10.917871
batch 240 finished, second per batch: 10.919522
batch 250 finished, second per batch: 10.953468
batch 260 finished, second per batch: 10.961936
batch 270 finished, second per batch: 10.980136
batch 280 finished, second per batch: 10.984691
batch 290 finished, second per batch: 10.980101
batch 300 finished, second per batch: 10.975455
batch 310 finished, second per batch: 10.966269
batch 320 finished, second per batch: 10.965249
batch 330 finished, second per batch: 10.966174
batch 340 finished, second per batch: 10.959353
1 pass end, cost time: 1902.693665, avg_cost: 0.083661
batch 350 finished, second per batch: 10.963040
batch 360 finished, second per batch: 10.962221
batch 370 finished, second per batch: 10.968633
batch 380 finished, second per batch: 10.982014
batch 390 finished, second per batch: 10.981947
batch 400 finished, second per batch: 10.976147
batch 410 finished, second per batch: 10.976816
batch 420 finished, second per batch: 10.983579
batch 430 finished, second per batch: 10.984783
batch 440 finished, second per batch: 10.980964
batch 450 finished, second per batch: 10.979670
batch 460 finished, second per batch: 10.981271
batch 470 finished, second per batch: 10.979778
batch 480 finished, second per batch: 10.991425
batch 490 finished, second per batch: 11.007439
batch 500 finished, second per batch: 11.033443
batch 510 finished, second per batch: 11.036897
2 pass end, cost time: 1940.485644, avg_cost: 0.063240
batch 520 finished, second per batch: 11.051200
batch 530 finished, second per batch: 11.050773
batch 540 finished, second per batch: 11.048103
batch 550 finished, second per batch: 11.046150
batch 560 finished, second per batch: 11.043651
batch 570 finished, second per batch: 11.038101
batch 580 finished, second per batch: 11.035911
batch 590 finished, second per batch: 11.029887
batch 600 finished, second per batch: 11.032847
batch 610 finished, second per batch: 11.027155
batch 620 finished, second per batch: 11.024396
batch 630 finished, second per batch: 11.018682
batch 640 finished, second per batch: 11.017144
batch 650 finished, second per batch: 11.014870
batch 660 finished, second per batch: 11.010780
batch 670 finished, second per batch: 11.007753
batch 680 finished, second per batch: 11.006105
batch 690 finished, second per batch: 11.001318
3 pass end, cost time: 1881.460478, avg_cost: 0.058249
batch 700 finished, second per batch: 11.005091
batch 710 finished, second per batch: 11.001808
batch 720 finished, second per batch: 10.997828
batch 730 finished, second per batch: 10.993909
batch 740 finished, second per batch: 10.987992
batch 750 finished, second per batch: 10.987793
batch 760 finished, second per batch: 10.984909
batch 770 finished, second per batch: 10.983131
batch 780 finished, second per batch: 10.990050
batch 790 finished, second per batch: 10.998932
batch 800 finished, second per batch: 10.995932
batch 810 finished, second per batch: 10.993054
batch 820 finished, second per batch: 10.989839
batch 830 finished, second per batch: 10.987261
batch 840 finished, second per batch: 10.986963
batch 850 finished, second per batch: 10.985220
batch 860 finished, second per batch: 10.981657
4 pass end, cost time: 1883.945048, avg_cost: 0.053457
batch 870 finished, second per batch: 10.979657
batch 880 finished, second per batch: 10.977091
batch 890 finished, second per batch: 10.977243
batch 900 finished, second per batch: 10.975073
batch 910 finished, second per batch: 10.971242
batch 920 finished, second per batch: 10.966964
batch 930 finished, second per batch: 10.967745
batch 940 finished, second per batch: 10.965302
batch 950 finished, second per batch: 10.970676
batch 960 finished, second per batch: 10.969800
batch 970 finished, second per batch: 10.966614
batch 980 finished, second per batch: 10.965683
batch 990 finished, second per batch: 10.964392
batch 1000 finished, second per batch: 10.968863
batch 1010 finished, second per batch: 10.967146
batch 1020 finished, second per batch: 10.968672
batch 1030 finished, second per batch: 10.966812
5 pass end, cost time: 1882.528416, avg_cost: 0.054329
batch 1040 finished, second per batch: 10.965252
batch 1050 finished, second per batch: 10.964599
batch 1060 finished, second per batch: 10.968961
batch 1070 finished, second per batch: 10.968928
batch 1080 finished, second per batch: 10.965020
batch 1090 finished, second per batch: 10.963410
batch 1100 finished, second per batch: 10.961215
batch 1110 finished, second per batch: 10.959037
batch 1120 finished, second per batch: 10.959547
batch 1130 finished, second per batch: 10.957115
batch 1140 finished, second per batch: 10.955630
batch 1150 finished, second per batch: 10.952227
batch 1160 finished, second per batch: 10.954790
batch 1170 finished, second per batch: 10.953129
batch 1180 finished, second per batch: 10.950138
batch 1190 finished, second per batch: 10.948425
batch 1200 finished, second per batch: 10.945571
batch 1210 finished, second per batch: 10.942029
6 pass end, cost time: 1871.379036, avg_cost: 0.050185
batch 1220 finished, second per batch: 10.943503
batch 1230 finished, second per batch: 10.950170
batch 1240 finished, second per batch: 10.952932
batch 1250 finished, second per batch: 10.959472
batch 1260 finished, second per batch: 10.964576
batch 1270 finished, second per batch: 10.962620
batch 1280 finished, second per batch: 10.968290
batch 1290 finished, second per batch: 10.968309
batch 1300 finished, second per batch: 10.965368
batch 1310 finished, second per batch: 10.969051
batch 1320 finished, second per batch: 10.971329
batch 1330 finished, second per batch: 10.969378
batch 1340 finished, second per batch: 10.968381
batch 1350 finished, second per batch: 10.969171
batch 1360 finished, second per batch: 10.975974
batch 1370 finished, second per batch: 10.988692
batch 1380 finished, second per batch: 10.997372
7 pass end, cost time: 1975.414684, avg_cost: 0.047756
batch 1390 finished, second per batch: 11.012593
batch 1400 finished, second per batch: 11.014538
batch 1410 finished, second per batch: 11.012612
batch 1420 finished, second per batch: 11.009910
batch 1430 finished, second per batch: 11.007086
batch 1440 finished, second per batch: 11.003599
batch 1450 finished, second per batch: 11.003505
batch 1460 finished, second per batch: 11.001533
batch 1470 finished, second per batch: 10.999992
batch 1480 finished, second per batch: 11.003816
batch 1490 finished, second per batch: 11.004379
batch 1500 finished, second per batch: 11.001027
batch 1510 finished, second per batch: 10.999590
batch 1520 finished, second per batch: 11.011636
batch 1530 finished, second per batch: 11.023644
batch 1540 finished, second per batch: 11.031287
batch 1550 finished, second per batch: 11.030053
8 pass end, cost time: 1942.680412, avg_cost: 0.046226
batch 1560 finished, second per batch: 11.027413
batch 1570 finished, second per batch: 11.025954
batch 1580 finished, second per batch: 11.023321
batch 1590 finished, second per batch: 11.022787
batch 1600 finished, second per batch: 11.019986
batch 1610 finished, second per batch: 11.021876
batch 1620 finished, second per batch: 11.020824
batch 1630 finished, second per batch: 11.020408
batch 1640 finished, second per batch: 11.019271
batch 1650 finished, second per batch: 11.016311
batch 1660 finished, second per batch: 11.014148
batch 1670 finished, second per batch: 11.011865
batch 1680 finished, second per batch: 11.012292
batch 1690 finished, second per batch: 11.014715
batch 1700 finished, second per batch: 11.014473
batch 1710 finished, second per batch: 11.013247
batch 1720 finished, second per batch: 11.013135
9 pass end, cost time: 1877.607223, avg_cost: 0.045081
batch 1730 finished, second per batch: 11.010998
batch 1740 finished, second per batch: 11.011011
batch 1750 finished, second per batch: 11.010027
batch 1760 finished, second per batch: 11.012352
batch 1770 finished, second per batch: 11.013963
batch 1780 finished, second per batch: 11.012672
batch 1790 finished, second per batch: 11.015130
batch 1800 finished, second per batch: 11.015274
batch 1810 finished, second per batch: 11.014526
batch 1820 finished, second per batch: 11.014034
batch 1830 finished, second per batch: 11.013159
batch 1840 finished, second per batch: 11.011410
batch 1850 finished, second per batch: 11.011277
batch 1860 finished, second per batch: 11.010745
batch 1870 finished, second per batch: 11.013268
batch 1880 finished, second per batch: 11.015122
batch 1890 finished, second per batch: 11.017488
batch 1900 finished, second per batch: 11.016781
10 pass end, cost time: 1917.752192, avg_cost: 0.043257
batch 1910 finished, second per batch: 11.017195
batch 1920 finished, second per batch: 11.017598
batch 1930 finished, second per batch: 11.016711
batch 1940 finished, second per batch: 11.015584
batch 1950 finished, second per batch: 11.013912
batch 1960 finished, second per batch: 11.013560
batch 1970 finished, second per batch: 11.016737
batch 1980 finished, second per batch: 11.015632
batch 1990 finished, second per batch: 11.014259
batch 2000 finished, second per batch: 11.013349
batch 2010 finished, second per batch: 11.013203
batch 2020 finished, second per batch: 11.012217
batch 2030 finished, second per batch: 11.011728
batch 2040 finished, second per batch: 11.010512
batch 2050 finished, second per batch: 11.010476
batch 2060 finished, second per batch: 11.010051
batch 2070 finished, second per batch: 11.007859
11 pass end, cost time: 1884.294951, avg_cost: 0.041476
batch 2080 finished, second per batch: 11.006719
batch 2090 finished, second per batch: 11.005155
batch 2100 finished, second per batch: 11.004674
batch 2110 finished, second per batch: 11.002932
batch 2120 finished, second per batch: 11.001988
batch 2130 finished, second per batch: 11.010696
batch 2140 finished, second per batch: 11.015521
batch 2150 finished, second per batch: 11.023342
batch 2160 finished, second per batch: 11.025526
batch 2170 finished, second per batch: 11.027381
batch 2180 finished, second per batch: 11.032133
batch 2190 finished, second per batch: 11.032512
batch 2200 finished, second per batch: 11.031172
batch 2210 finished, second per batch: 11.029134
batch 2220 finished, second per batch: 11.027076
batch 2230 finished, second per batch: 11.025719
batch 2240 finished, second per batch: 11.024744
12 pass end, cost time: 1939.402551, avg_cost: 0.040005
batch 2250 finished, second per batch: 11.022654
batch 2260 finished, second per batch: 11.021985
batch 2270 finished, second per batch: 11.019927
